Gene name,Accession
AAC1,P04710
AAC3,P18238
AAD10,P47182
AAD14,P42884
AAD15,Q08361
AAD16,Q02895
AAD3,P25612
AAD4,Q07747
AAD6,P43547
AAH1,P53909
AAP1,P37898
AAR2,P32357
AAT1,Q01802
AAT2,P23542
ABD1,P32783
ABF1,P14164
ABF2,Q02486
ABM1,P47146
ABP1,P15891
ABP140,Q08641
ABZ1,P37254
ABZ2,Q03266
ACA1,P39970
ACB1,P31787
ACC1,Q00955
ACE2,P21192
ACF2,Q12168
ACF4,P47129
ACH1,P32316
ACK1,Q07622
ACL4,Q03771
ACM1,Q08981
ACO1,P19414
ACO2,P39533
ACP1,P32463
ACS1,Q01574
ACS2,P52910
ACT1,P60010
ADA2,Q02336
ADD37,Q03233
ADD66,P36040
ADE1,P27616
ADE12,P80210
ADE13,Q05911
ADE16,P54113
ADE17,P38009
ADE2,P21264
ADE3,P07245
ADE4,P04046
"ADE5,7",P07244
ADE6,P38972
ADE8,P04161
ADF1,Q2V2Q1
ADH1,P00330
ADH2,P00331
ADH3,P07246
ADH4,P10127
ADH5,P38113
ADH6,Q04894
ADH7,P25377
ADI1,Q03677
ADK1,P07170
ADK2,P26364
ADO1,P47143
ADP1,P25371
ADR1,P07248
ADY2,P25613
ADY3,Q07732
ADY4,Q05955
AEP1,P32493
AEP2,P22136
AEP3,Q12089
AFB1,Q07988
AFG1,P32317
AFG2,P32794
AFG3,P39925
AFI1,Q99222
AFR1,P33304
AFT1,P22149
AFT2,Q08957
AGA1,P32323
AGA2,P32781
AGC1,Q12482
AGE1,Q04412
AGE2,P40529
AGP1,P25376
AGP2,P38090
AGP3,P43548
AGX1,P43567
AHA1,Q12449
AHC1,Q12433
AHC2,P25649
AHP1,P38013
AHT1,P29589
AI1,P03875
AI2,P03876
AI3,P03877
AI4,P03878
AI5_ALPHA,Q9ZZX1
AI5_BETA,Q9ZZX0
AIF1,P52923
AIM10,P39965
AIM11,P87275
AIM14,P53109
AIM17,P23180
AIM18,P38884
AIM19,P40502
AIM2,P39721
AIM20,P40451
AIM21,P40563
AIM22,P47051
AIM23,P47015
AIM24,P47127
AIM25,P47140
AIM26,P32858
AIM29,P36154
AIM3,P38266
AIM32,Q04689
AIM33,Q04516
AIM34,Q03673
AIM36,Q03798
AIM39,Q08223
AIM41,Q12032
AIM44,Q99299
AIM45,Q12480
AIM46,P38885
AIM4,P38305
AIM6,Q07716
AIM7,Q12156
AIM9,P40053
AIP1,P46680
AIR1,P40507
AIR2,Q12476
AKL1,P38080
AKR1,P39010
AKR2,Q12013
ALA1,P40825
ALB1,P47019
ALD2,P47771
ALD3,P54114
ALD4,P46367
ALD5,P40047
ALD6,P54115
ALE1,Q08548
ALF1,P53904
ALG1,P16661
ALG11,P53954
ALG12,P53730
ALG13,P53178
ALG14,P38242
ALG2,P43636
ALG3,P38179
ALG5,P40350
ALG6,Q12001
ALG7,P07286
ALG8,P40351
ALG9,P53868
ALK1,P43633
ALK2,P32789
ALO1,P54783
ALP1,P38971
ALR1,Q08269
ALR2,P43553
ALT1,P52893
ALT2,P52892
ALY1,P36117
ALY2,P47029
AMA1,P50082
AMD1,P15274
AMD2,P22580
AME1,P38313
AMF1,Q08902
AMN1,P38285
AMS1,P22855
ANB1,P19211
ANP1,P32629
ANR2,P36090
ANS1,P38832
ANT1,Q06497
ANY1,Q03687
AOS1,Q06624
APA1,P16550
APA2,P22108
APC1,P53886
APC11,Q12157
APC2,Q12440
APC4,Q04601
APC5,Q08683
APC9,Q12107
APD1,P38281
APE1,P14904
APE2,P32454
APE3,P37302
APE4,P38821
API2,Q04413
APJ1,P53940
APL1,P27351
APL2,P36000
APL3,P38065
APL4,Q12028
APL5,Q08951
APL6,P46682
APM1,Q00776
APM2,P38700
APM3,P38153
APM4,Q99186
APN1,P22936
APN2,P38207
APP1,P53933
APQ12,P40532
APQ13,P47036
APS1,P35181
APS2,Q00381
APS3,P47064
APT1,P49435
APT2,P36973
AQR1,P53943
AQY1,P0CD91
AQY2,P0CD90
AQY3,P43549
ARA1,P38115
ARA2,Q04212
ARB1,P40024
ARC15,P40518
ARC18,Q05933
ARC19,P33204
ARC1,P46672
ARC35,P53731
ARC40,P38328
ARD1,P07347
ARE1,P25628
ARE2,P53629
ARF1,P11076
ARF2,P19146
ARF3,P40994
ARG1,P22768
ARG2,P40360
ARG3,P05150
ARG4,P04076
"ARG5,6",Q01217
ARG7,Q04728
ARG8,P18544
ARG80,P07249
ARG81,P05085
ARG82,P07250
ARH1,P48360
ARI1,P53111
ARK1,P53974
ARL1,P38116
ARL3,Q02804
ARN1,P38731
ARN2,P38724
ARO10,Q06408
ARO1,P08566
ARO2,P28777
ARO3,P14843
ARO4,P32449
ARO7,P32178
ARO8,P53090
ARO80,Q04052
ARO9,P38840
ARP10,Q04549
ARP1,P38696
ARP2,P32381
ARP3,P47117
ARP4,P80428
ARP5,P53946
ARP6,Q12509
ARP7,Q12406
ARP8,Q12386
ARP9,Q05123
ARR1,Q06596
ARR2,Q06597
ARR3,Q06598
ART10,P18634
ART2,Q8TGM7
ART3,Q8TGM5
ART5,P53244
ARV1,Q06541
ARX1,Q03862
ASA1,Q06822
ASC1,P38011
ASE1,P50275
ASF1,P32447
ASF2,P32448
ASG1,P40467
ASG7,P46993
ASH1,P34233
ASI1,P54074
ASI2,P53895
ASI3,P53983
ASK1,P35734
ASK10,P48361
ASM4,Q05166
ASN1,P49089
ASN2,P49090
ASP1,P38986
ASP3-1,P0CZ17
ASP3-2,P0CX77
ASP3-3,P0CX78
ASP3-4,P0CX79
ASR1,Q06834
AST1,P35183
AST2,P39945
ATC1,Q04005
ATE1,P16639
ATF1,P40353
ATF2,P53296
ATG10,Q07879
ATG11,Q12527
ATG12,P38316
ATG13,Q06628
