Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity TMT10-126,Intensity TMT10-127N,Intensity TMT10-127C,Intensity TMT10-128N,Intensity TMT10-128C,Intensity TMT10-129N,Intensity TMT10-129C,Intensity TMT10-130N,Intensity TMT10-130C,Intensity TMT10-131,Ratio TMT10-126,Ratio TMT10-127N,Ratio TMT10-127C,Ratio TMT10-128N,Ratio TMT10-128C,Ratio TMT10-129N,Ratio TMT10-129C,Ratio TMT10-130N,Ratio TMT10-130C,Ratio TMT10-131,Intensity Group 1(TMT10-126; TMT10-127N),Intensity Group 2(TMT10-127C; TMT10-128N),Intensity Group 3(TMT10-128C; TMT10-129N),Intensity Group 4(TMT10-129C; TMT10-130N),Intensity Group 5(TMT10-130C; TMT10-131),Ratio Group 1(TMT10-126; TMT10-127N),Ratio Group 2(TMT10-127C; TMT10-128N),Ratio Group 3(TMT10-128C; TMT10-129N),Ratio Group 4(TMT10-129C; TMT10-130N),Ratio Group 5(TMT10-130C; TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
2,3,P05694|METE_YEAST,27.86,357.59,5.895E7,5.922E7,5.729E7,5.686E7,5.34E7,5.245E7,5.119E7,5.091E7,5.889E7,5.98E7,1.00,1.00,0.97,0.96,0.91,0.89,0.87,0.86,1.00,1.01,5.909E7,5.708E7,5.294E7,5.105E7,5.935E7,1.00,0.97,0.90,0.86,1.00,68,46,46,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),85860,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET6 PE=1 SV=4
1,1,P00925|ENO2_YEAST,15.95,346.34,3.494E7,3.659E7,3.985E7,3.778E7,3.785E7,3.838E7,4.057E7,3.922E7,1.814E7,1.62E7,1.00,1.05,1.14,1.08,1.08,1.10,1.16,1.12,0.52,0.46,3.576E7,3.882E7,3.812E7,3.99E7,1.731E7,1.00,1.09,1.07,1.12,0.48,35,36,17,TMT10plex; Oxidation (M); Deamidation (NQ),46914,Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2
4,14,P00359|G3P3_YEAST,15.47,346.07,7.918E7,8.084E7,7.827E7,7.682E7,8.1E7,7.788E7,8.54E7,8.291E7,3.705E7,3.208E7,1.00,1.02,0.99,0.97,1.02,0.98,1.08,1.05,0.47,0.41,8.002E7,7.755E7,7.945E7,8.417E7,3.458E7,1.00,0.97,0.99,1.05,0.43,80,30,30,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),35747,Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3
16,9,P07149|FAS1_YEAST,25.49,340.57,1.094E7,1.084E7,1.109E7,1.113E7,1.288E7,1.314E7,1.255E7,1.268E7,1.317E7,1.301E7,1.00,0.99,1.01,1.02,1.18,1.20,1.15,1.16,1.20,1.19,1.09E7,1.112E7,1.301E7,1.262E7,1.309E7,1.00,1.02,1.19,1.16,1.20,30,52,52,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),228689,Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS1 PE=1 SV=2
18,11,P19097|FAS2_YEAST,22.72,339.15,9.354E6,9.532E6,9.103E6,9.253E6,1.1E7,1.118E7,1.123E7,1.11E7,1.006E7,1.02E7,1.00,1.02,0.97,0.99,1.18,1.20,1.20,1.19,1.07,1.09,9.449E6,9.181E6,1.11E7,1.117E7,1.014E7,1.00,0.97,1.17,1.18,1.07,30,51,51,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),206945,Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS2 PE=1 SV=2
3,2,P00560|PGK_YEAST,34.64,335.39,1.351E8,1.356E8,1.557E8,1.552E8,1.859E8,1.825E8,1.792E8,1.782E8,7.628E7,6.609E7,1.00,1.00,1.15,1.15,1.38,1.35,1.33,1.32,0.56,0.49,1.353E8,1.555E8,1.842E8,1.787E8,7.123E7,1.00,1.15,1.36,1.32,0.53,84,36,36,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),44738,Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2
8,15,P32324|EF2_YEAST,17.21,335.15,3.669E7,3.702E7,3.524E7,3.521E7,3.295E7,3.257E7,3.352E7,3.288E7,2.868E7,2.744E7,1.00,1.01,0.96,0.96,0.90,0.89,0.91,0.90,0.78,0.75,3.686E7,3.523E7,3.277E7,3.32E7,2.807E7,1.00,0.96,0.89,0.90,0.76,56,41,41,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),93289,Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1
14,4,P07259|PYR1_YEAST,20.66,332.74,1.332E7,1.317E7,1.21E7,1.22E7,1.161E7,1.185E7,1.128E7,1.115E7,1.221E7,1.276E7,1.00,0.99,0.91,0.92,0.87,0.89,0.85,0.84,0.92,0.96,1.325E7,1.215E7,1.173E7,1.122E7,1.249E7,1.00,0.92,0.89,0.85,0.94,29,56,55,Acrylamide; TMT10plex; Oxidation (M),245038,Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA2 PE=1 SV=5
5,6,P00549|KPYK1_YEAST,21.35,331.55,7.675E7,7.852E7,8.516E7,8.579E7,8.975E7,8.94E7,9.533E7,9.385E7,3.504E7,3.148E7,1.00,1.02,1.11,1.12,1.17,1.16,1.24,1.22,0.46,0.41,7.764E7,8.548E7,8.958E7,9.459E7,3.328E7,1.00,1.10,1.15,1.22,0.43,79,37,37,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),54545,Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2
7,10,P06169|PDC1_YEAST,36.03,331.09,6.332E7,6.394E7,6.073E7,5.951E7,5.379E7,5.494E7,5.917E7,5.372E7,2.587E7,2.545E7,1.00,1.01,0.96,0.94,0.85,0.87,0.93,0.85,0.41,0.40,6.363E7,6.013E7,5.437E7,5.645E7,2.567E7,1.00,0.94,0.85,0.89,0.40,50,27,23,Acrylamide; TMT10plex; Oxidation (M); Deamidation (NQ),61495,Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7
